1.1166, 0.7679
1.1166, 0.7755
1.1166, 0.7832
1.1165, 0.7909
1.1165, 0.7985
1.1165, 0.8061
1.1165, 0.8138
1.128, 0.8214
1.128, 0.8291
1.1398, 0.8367
1.1398, 0.8444
1.1397, 0.8519
1.1516, 0.8519
1.1635, 0.8596
1.1755, 0.8596
1.1877, 0.8596
1.2, 0.8596
1.2, 0.8673
1.2, 0.8749
1.1877, 0.8826
1.1877, 0.8902
1.1877, 0.8979
1.1877, 0.9055
1.1877, 0.9131
1.1876, 0.9207
1.1876, 0.9284
1.1876, 0.9361
1.1999, 0.9437
1.1999, 0.9513
1.1999, 0.959
1.2123, 0.9666
1.2123, 0.9743
1.2123, 0.9819
1.2248, 0.9895
1.2248, 0.9971
1.2375, 0.9971
1.2375, 1.0048
1.2504, 1.0125
1.2503, 1.0201
1.2503, 1.0278
1.2503, 1.0354
1.2503, 1.043
1.2633, 1.0507
1.2633, 1.0583
1.2633, 1.066
1.2763, 1.0735
1.2763, 1.0813
1.2763, 1.0889
1.2894, 1.0965
1.2894, 1.1042
1.2894, 1.1118
1.3029, 1.1195
1.3029, 1.1271
1.3029, 1.1347
1.3163, 1.1424
1.3163, 1.15
1.33, 1.1577
1.3299, 1.1653
1.3299, 1.173
1.3437, 1.1806
1.3437, 1.1882
1.3437, 1.1959
1.3576, 1.2035
1.3576, 1.2112
1.3576, 1.2187
1.3716, 1.2264
1.3716, 1.2341
1.3716, 1.2417
1.3858, 1.2494
1.3858, 1.257
1.3858, 1.2647
1.4002, 1.2723
1.4001, 1.2799
1.4001, 1.2876
1.4146, 1.2952
1.4146, 1.3029
1.4146, 1.3105
1.4293, 1.3182
1.4293, 1.3258
1.4292, 1.3334
1.444, 1.3411
1.444, 1.3487
1.444, 1.3564
1.459, 1.3639
1.459, 1.3716
1.4741, 1.3793
1.4741, 1.3869
1.4741, 1.3946
1.4893, 1.4022
1.4893, 1.4099
1.4893, 1.4175
1.5047, 1.4251
1.5047, 1.4328
1.5047, 1.4404
1.5203, 1.4481
1.5203, 1.4557
1.5203, 1.4633
1.536, 1.471
1.536, 1.4786
